step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6
3600,36000000,11,1,10.864646,3.240381,11.600691,-10.028,0.9481,0.0288488646312971,0.158638338512184,0.314421503450969,0.111834352434609,0.0989633714057478,0.394483,15,-5.93502784810127,1,-11.91025,-10.6408571428571,-11.2165625,-10.4291428571429,-9.67013559322034,-9.10746835443038
3600,36000000,12,1,11.081646,3.024881,11.368191,-10.058,0.9775,0.0283217099802131,0.161182531674636,0.314286917490769,0.112418627693459,0.0994403371221512,0.389805,18,-6.18731204819277,1,-11.588,-12.3265555555556,-10.8759310344828,-11.0248076923077,-9.58491044776119,-9.30266666666667
3600,36000000,13,1,11.241646,2.729701,11.563891,-9.889,0.9782,0.0268490594329011,0.162933023214024,0.311183179210533,0.113087284855533,0.0990964186138241,0.380757,14,-6.06301358024691,1,-11.01025,-11.2237142857143,-10.79053125,-10.3625925925926,-9.35127118644068,-9.13431764705882
3600,36000000,14,1,11.507246,2.528351,11.352591,-9.898,0.9728,0.0261146395541579,0.167455426028081,0.307844886847087,0.112153475378714,0.0981250284400064,0.387308,14,-6.32636265060241,1,-10.7515,-10.8865,-10.913,-9.82242857142857,-9.43329850746269,-9.54669512195122
3600,36000000,15,1,11.687346,2.242481,11.558691,-9.471,0.9668,0.0252942002711661,0.169368275179192,0.302794288844356,0.113392350273828,0.100206185276856,0.401699,15,-5.74495609756098,1,-10.45925,-9.89216666666667,-10.193064516129,-9.77506896551724,-9.14133333333333,-9.40975675675676
3600,36000000,16,1,11.955446,2.021251,11.368091,-9.453,0.9678,0.0217813257191421,0.175757195710698,0.29963052054273,0.114280366391379,0.100938645009512,0.400173,14,-5.48815125,1,-9.8815,-9.18428571428572,-10.1449090909091,-8.84173913043478,-9.19149180327869,-9.8289375
3600,36000000,17,1,12.105246,1.720911,11.566991,-8.972,0.9578,0.0228997894741972,0.174521112681816,0.28414321141874,0.113245035291332,0.101070824602297,0.416158,18,-5.2534962962963,1,-10.1835,-8.96085714285714,-9.18703448275862,-9.24043333333333,-9.13146428571429,-9.34765277777778
3600,36000000,18,1,12.379846,1.535861,11.356191,-9.088,0.9454,0.0225929651124674,0.170972779736728,0.290580857120401,0.115005466332555,0.0986163238656423,0.391194,12,-4.88079012345679,1,-9.16625,-8.293,-9.28374193548387,-9.12135,-9.35344444444444,-9.114825
3600,36000000,19,1,12.561846,1.231421,11.521891,-8.6,0.8719,0.0304017247551015,0.165404529636178,0.273692041403608,0.11031755194588,0.0971447187475968,0.40844,16,-4.21189210526316,1,-8.5395,-8.495375,-8.53644444444445,-9.03464285714286,-9.25702,-8.50177464788733
3600,36000000,20,1,12.817946,1.070671,11.267491,-8.682,0.8721,0.0229656302057514,0.16668689362775,0.288286501072385,0.114137712550996,0.0964220784862161,0.394921,14,-3.9385698630137,1,-8.09,-7.65342857142857,-8.86386206896552,-9.01755,-8.94325490196079,-9.0693698630137
3600,36000000,21,1,12.961446,0.733821,11.398691,-8.275,0.7868,0.0375356340208722,0.164562218311331,0.271436303474884,0.106070243454328,0.097560905723149,0.407514,16,-3.52341408450704,1,-8.0525,-8.00775,-8.01454545454545,-8.37026923076923,-8.83968181818182,-8.58831645569621
3600,36000000,22,1,13.282846,0.611181,11.214291,-8.313,0.7696,0.0199644505263708,0.167149038226093,0.289867548146246,0.111652969030662,0.0979084083616744,0.380906,14,-3.17019027777778,1,-7.4275,-7.63414285714286,-8.93909090909091,-7.54752,-8.77916666666667,-8.87316176470588
3600,36000000,23,1,13.372346,0.226227,11.200791,-8.021,0.6814,0.0233502376672686,0.168307175514159,0.277349281766139,0.1096290864803,0.0938754714413832,0.419988,16,-2.68113134328358,1,-7.208,-8.1528,-7.813625,-7.5671,-8.4303488372093,-8.64860273972603
3600,36000000,24,1,13.667946,0.143402,10.970191,-8.07,0.4802,0.0213433149079213,0.166562081803696,0.290776994098014,0.115583748975413,0.0949781592104115,0.383995,14,-2.92136029411765,1,-8.4655,-7.962,-8.23426086956522,-7.65688888888889,-8.69564705882353,-8.6188
