step,t,atom_id,mol_id,x,y,z,S,xlo,xhi,ylo,yhi,zlo,zhi,S_ave_0.4to0.8,S_ave_0.8to1.1,S_ave_1.1to1.5,S_ave_1.5to1.9,S_ave_1.9to2.3,S_ave_2.3to2.7
1,23000000,97,1.0,7.90103,9.84768,5.98336,-6.92,0.0,0.0,0.0,0.0,0.0,0.0,-6.183,-5.8765,-6.071,-6.141222222222222,-6.729962264150943,-6.548567164179104
1,23000000,98,1.0,8.13758,10.142,6.06917,-5.62,0.0,0.0,0.0,0.0,0.0,0.0,-6.96725,-5.739875,-6.585103448275862,-6.1542142857142865,-7.040410714285714,-6.250174603174603
1,23000000,99,1.0,8.38973,10.1372,6.37685,-6.364,0.0,0.0,0.0,0.0,0.0,0.0,-6.39725,-6.3198888888888884,-6.666625000000001,-6.633428571428572,-6.575644067796611,-6.344840579710145
1,23000000,100,1.0,8.49796,10.4963,6.47828,-8.024,0.0,0.0,0.0,0.0,0.0,0.0,-6.31025,-6.539199999999999,-6.818516129032258,-7.208875000000002,-6.4611636363636356,-6.180186666666667
1,23000000,101,1.0,8.76552,10.4953,6.77146,-5.025,0.0,0.0,0.0,0.0,0.0,0.0,-7.597499999999999,-7.336777777777777,-7.106347826086955,-6.381206896551725,-6.533625000000001,-6.3670684931506845
1,23000000,102,1.0,8.9131,10.8522,6.84674,-8.232,0.0,0.0,0.0,0.0,0.0,0.0,-7.96625,-7.841857142857144,-7.4435925925925925,-5.83364,-6.732448979591838,-6.277011904761904
1,23000000,103,1.0,9.15379,10.8877,7.16483,-7.77,0.0,0.0,0.0,0.0,0.0,0.0,-8.03675,-7.4144000000000005,-7.589285714285714,-6.568520000000001,-6.190775862068966,-6.386842105263158
1,23000000,104,1.0,9.25316,11.2707,7.22574,-11.046,0.0,0.0,0.0,0.0,0.0,0.0,-7.3495,-7.5504999999999995,-7.617428571428571,-6.2545,-6.339218181818182,-6.223371794871795
1,23000000,105,1.0,9.49112,11.327,7.52078,-7.844,0.0,0.0,0.0,0.0,0.0,0.0,-8.1935,-6.126857142857142,-7.673958333333334,-6.8904,-6.209214285714286,-6.002562499999999
1,23000000,106,1.0,9.63882,11.6825,7.52164,-5.552,0.0,0.0,0.0,0.0,0.0,0.0,-8.045,-7.39,-7.238464285714286,-6.205214285714286,-6.696673469387755,-5.718146666666667
1,23000000,107,1.0,9.88089,11.7652,7.82688,-8.406,0.0,0.0,0.0,0.0,0.0,0.0,-6.66525,-8.26075,-6.631516129032257,-7.001260869565217,-6.208377358490566,-5.893488095238094
1,23000000,108,1.0,9.96272,12.1424,7.89894,-4.884,0.0,0.0,0.0,0.0,0.0,0.0,-6.44625,-6.514666666666667,-6.5108461538461535,-6.610640000000001,-6.115140350877192,-5.8086315789473675
1,23000000,109,1.0,10.179,12.1803,8.22628,-8.381,0.0,0.0,0.0,0.0,0.0,0.0,-5.3675,-5.698333333333333,-6.596099999999999,-5.73591304347826,-6.261176470588235,-5.962593023255814
1,23000000,110,1.0,10.3056,12.5386,8.36444,-3.446,0.0,0.0,0.0,0.0,0.0,0.0,-5.792250000000001,-5.9590000000000005,-6.287681818181818,-5.643249999999999,-5.7958125,-6.340338235294119
1,23000000,111,1.0,10.5468,12.502,8.68026,-4.734,0.0,0.0,0.0,0.0,0.0,0.0,-5.7475000000000005,-5.863428571428572,-5.984370370370372,-5.887088235294117,-5.689061224489796,-6.186078125
1,23000000,112,1.0,10.723,12.8203,8.80064,-5.17,0.0,0.0,0.0,0.0,0.0,0.0,-4.92575,-5.6438749999999995,-5.420655172413793,-6.2058709677419355,-5.61309756097561,-5.976257142857143
1,23000000,113,1.0,10.945,12.8275,9.12733,-5.993,0.0,0.0,0.0,0.0,0.0,0.0,-5.28325,-4.925125,-5.829749999999999,-5.495645161290324,-6.155216216216216,-5.5310266666666665
1,23000000,114,1.0,11.1639,13.1316,9.20134,-5.53,0.0,0.0,0.0,0.0,0.0,0.0,-4.866,-4.651428571428572,-5.5391111111111115,-5.7434666666666665,-5.65204347826087,-5.915602739726028
1,23000000,115,1.0,11.2447,13.2006,9.58064,-5.699,0.0,0.0,0.0,0.0,0.0,0.0,-4.80325,-5.305,-5.532130434782609,-5.894000000000001,-5.667625,-5.717052631578947
1,23000000,116,1.0,11.4928,13.511,9.5846,-2.602,0.0,0.0,0.0,0.0,0.0,0.0,-5.1405,-5.323666666666666,-5.439565217391305,-5.4642083333333344,-5.769724137931035,-5.22595652173913
1,23000000,117,1.0,11.6867,13.5796,9.92481,-5.088,0.0,0.0,0.0,0.0,0.0,0.0,-4.2645,-5.554428571428572,-5.40272,-5.823999999999999,-5.362792452830189,-5.382478260869566
1,23000000,118,1.0,11.8797,13.9125,9.93667,-4.245,0.0,0.0,0.0,0.0,0.0,0.0,-3.9567499999999995,-5.0969999999999995,-5.896319999999999,-5.03175,-5.300566037735848,-5.348454545454545
1,23000000,119,1.0,12.0048,13.9888,10.3088,-4.512,0.0,0.0,0.0,0.0,0.0,0.0,-4.109,-5.0241428571428575,-5.962608695652174,-4.755529411764705,-5.461379999999999,-5.552651515151515
1,23000000,120,1.0,12.3225,14.2091,10.3602,-3.625,0.0,0.0,0.0,0.0,0.0,0.0,-4.3027500000000005,-5.144571428571429,-5.373260869565218,-4.8116153846153855,-5.465369565217391,-5.465953125
1,23000000,121,1.0,12.4112,14.2416,10.7414,-3.478,0.0,0.0,0.0,0.0,0.0,0.0,-4.9355,-4.544600000000001,-5.08336,-5.00664864864865,-5.456159090909091,-5.581338235294119
1,23000000,122,1.0,12.6998,14.4854,10.8589,-4.976,0.0,0.0,0.0,0.0,0.0,0.0,-4.28575,-4.03925,-4.916818181818182,-5.216555555555556,-5.33709090909091,-5.505753246753247
1,23000000,123,1.0,12.6536,14.8593,10.7618,-6.629,0.0,0.0,0.0,0.0,0.0,0.0,-4.406666666666667,-4.22775,-5.487076923076923,-4.852967741935484,-5.1426428571428575,-5.541171052631578
1,23000000,124,1.0,12.4013,15.0046,11.0006,-3.411,0.0,0.0,0.0,0.0,0.0,0.0,-4.956333333333333,-5.766714285714286,-5.234444444444444,-4.895233333333335,-5.211795918367347,-5.378753623188406
